date	total_cases	new_cases_smoothed	new_cases	total_deaths	new_deaths_smoothed	new_deaths
2020-02-07						
2020-02-08						
2020-02-09						
2020-02-10						
2020-02-11						
2020-02-12						
2020-02-13						
2020-02-14	1		1			
2020-02-15	1		0			
2020-02-16	1		0			
2020-02-17	1		0			
2020-02-18	1		0			
2020-02-19	1	0.143	0			
2020-02-20	1	0.143	0			
2020-02-21	1	0	0			
2020-02-22	1	0	0			
2020-02-23	1	0	0			
2020-02-24	1	0	0			
2020-02-25	2	0	1			
2020-02-26	2	0	0			
2020-02-27	2	0	0			
2020-02-28	3	0	1			
2020-02-29	3	0	0			
2020-03-01	4	0.286	1			
2020-03-02	8	0.572	4			
2020-03-03	11	0.714	3			
2020-03-04	21	1.857	10			
2020-03-05	24	2	3			
2020-03-06	43	4.286	19			
2020-03-07	43	5.143	0			
2020-03-08	83	10.142	40	1		1
2020-03-09	91	11.001	8	1		0
2020-03-10	104	12.715	13	2		1
2020-03-11	118	13.286	14	2		0
2020-03-12	134	15.143	16	3		1
2020-03-13	176	17.858	42	6	0.286	3
2020-03-14	252	27.287	76	7	0.286	1
2020-03-15	317	29.143	65	8	0.286	1
2020-03-16	404	39	87	8	0.286	0
2020-03-17	492	48.428	88	11	1.143	3
2020-03-18	610	62.286	118	17	2	6
2020-03-19	788	87.286	178	20	2.143	3
2020-03-20	970	108.577	182	26	2.429	6
2020-03-21	1170	125.288	206	35	3.143	9
2020-03-22	1423	153.002	253	46	4	11
2020-03-23	1806	196.004	383	55	5.286	9
2020-03-24	2244	245.002	438	62	6	7
2020-03-25	2767	305.001	523	73	6	11
2020-03-26	3293	356.717	526	91	8.857	18
2020-03-27	3873	413.572	580	115	11	24
2020-03-28	4216	431.861	343	134	12.857	19
2020-03-29	4780	476.716	564	151	12.571	17
2020-03-30	5175	480.857	395	172	15.144	21
2020-03-31	5761	501.426	586	198	17.43	26
2020-04-01	6360	512.14	599	233	21.429	35
2020-04-02	7016	530.147	656	285	25.715	52
2020-04-03	7897	573.142	881	331	29.716	46
2020-04-04	8579	621.712	682	382	34.288	51
2020-04-05	9264	639.857	685	442	39.859	60
2020-04-06	9980	685.001	716	487	43.145	45
2020-04-07	10608	691.573	628	533	46.858	46
2020-04-08	11414	721.143	806	573	47.428	40
2020-04-09	12207	740.57	793	627	47.571	54
2020-04-10	12901	714.287	694	690	50.716	63
2020-04-11	13615	719.428	714	742	50.718	52
2020-04-12	14484	745.714	869	788	49.002	46
2020-04-13	15256	753.715	772	833	49.004	45
2020-04-14	16227	802.714	971	873	48.146	40
2020-04-15	17192	825.428	965	910	47.86	37
2020-04-16	18360	878.999	1168	965	47.859	55
2020-04-17	19763	980.286	1403	1015	45.716	50
2020-04-18	21071	1064.857	1309	1058	44.573	43
2020-04-19	22268	1112.14	1197	1120	46.572	62
2020-04-20	23431	1168.001	1163	1159	46.43	39
2020-04-21	24507	1182.999	1076	1189	45.144	30
2020-04-22	25910	1245.572	1403	1240	47.002	51
2020-04-23	27347	1283.998	1437	1297	47.144	57
2020-04-24	29052	1327.142	1705	1324	43.718	27
2020-04-25	30296	1317.855	1244	1372	44.43	48
2020-04-26	31828	1365.718	1532	1422	42.287	50
2020-04-27	33165	1390.573	1337	1461	42.429	39
2020-04-28	34784	1468.141	1619	1522	47.143	61
2020-04-29	36807	1556.712	2023	1588	49.287	66
2020-04-30	38753	1629.286	1946	1634	47.288	46
2020-05-01	40468	1630.713	1715	1690	51.431	56
2020-05-02	42705	1771.858	2243	1759	53.717	69
2020-05-03	44297	1781.712	1592	1796	53.288	37
2020-05-04	46951	1969.857	2654	1842	54.001	46
2020-05-05	48993	2030.711	2042	1906	54.432	64
2020-05-06	51535	2104.857	2542	2006	59.573	100
2020-05-07	54022	2182.14	2487	2073	62.571	67
2020-05-08	57647	2454.999	3625	2154	66.142	81
2020-05-09	60507	2543.142	2860	2221	65.859	67
2020-05-10	63086	2684.144	2579	2290	70.429	69
2020-05-11	66145	2736.714	3066	2344	71.717	54
2020-05-12	69312	2903.715	3167	2395	69.861	51
2020-05-13	72226	2956.715	2914	2493	69.573	98
2020-05-14	75344	3046.856	3118	2562	69.859	69
2020-05-15	78270	2946.999	2926	2624	66.571	62
2020-05-16	81273	2967.427	3003	2708	68.999	84
2020-05-17	84587	3072.433	3314	2758	66.142	50
2020-05-18	88255	3158.573	3668	2831	68.859	73
2020-05-19	91266	3164.431	3220	2906	72.146	75
2020-05-20	95057	3291.427	3791	2990	70.716	84
2020-05-21	99752	3516.712	4799	3095	75.861	105
2020-05-22	103620	3666.145	3868	3183	79.86	88
2020-05-23	107485	3789.283	3865	3255	78.002	72
2020-05-24	111605	3904.427	4120	3354	85.002	99
2020-05-25	115733	3970.148	4128	3479	92.287	125
2020-05-26	119444	4040.286	3711	3591	97.574	112
2020-05-27	124524	4224.429	5080	3698	100.859	107
2020-05-28	129440	4241.142	4916	3791	99.144	93
2020-05-29	135186	4509.429	5746	3922	105.286	131
2020-05-30	141304	4831.285	6118	4069	116.144	147
2020-05-31	146551	4992.284	5247	4222	123.858	153
2020-06-01	152336	5229	5785	4343	123.288	121
2020-06-02	157214	5395.715	4878	4493	128.571	150
2020-06-03	162311	5398.145	5097	4601	128.714	108
2020-06-04	169417	5710.997	7106	4756	137.858	155
2020-06-05	176603	5916.715	7186	4913	141.574	157
2020-06-06	183202	5985.427	6599	5055	140.857	142
2020-06-07	189536	6140.716	6334	5188	138	133
2020-06-08	196187	6264.43	6651	5363	145.715	175
2020-06-09	202657	6491.857	6470	5537	149.144	174
2020-06-10	209202	6698.714	6545	5688	155.287	151
2020-06-11	216605	6741.145	7403	5851	156.431	163
2020-06-12	224684	6868.716	8079	6049	162.287	198
2020-06-13	232771	7081.287	8087	6253	171.148	204
2020-06-14	241551	7430.719	8780	6459	181.574	206
2020-06-15	251144	7851	9593	6761	199.715	302
2020-06-16	258786	8018.428	7642	7015	211.148	254
2020-06-17	267522	8331.426	8736	7218	218.575	203
2020-06-18	275757	8450.285	8235	7419	224.003	201
2020-06-19	285570	8697.998	9813	7682	233.289	263
2020-06-20	296919	9164.002	11349	7918	237.86	236
2020-06-21	306356	9257.857	9437	8114	236.434	196
