Accession_ID	Collection_date	Submission_date	Location	Clade	Pangolin	City
EPI_ISL_1167125	2021-01-27	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167126	2021-02-04	2021-03-05	Africa / Senegal / Dakar	20A	B.1.214.2	 Dakar
EPI_ISL_1167127	2021-02-02	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167128	2021-02-05	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167129	2021-01-17	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167130	2021-01-23	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167131	2021-01-29	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167132	2021-01-18	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167133	2021-01-29	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167134	2021-02-05	2021-03-05	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_1167135	2020-12-28	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167136	2021-01-18	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167137	2021-01-18	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167138	2021-01-14	2021-03-05	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_1167139	2021-01-14	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167140	2021-01-14	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167141	2020-12-30	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167142	2021-01-25	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167143	2021-01-27	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167144	2021-01-27	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167145	2020-12-30	2021-03-05	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_1167146	2020-12-31	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167147	2021-01-07	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167148	2021-01-12	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167149	2021-01-14	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167150	2021-01-14	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
